origin_index,origin_timestamp,split,history_start_index,history_end_index,history_steps,history_hours,maximum_interpolated_fraction,target_index_h60,target_timestamp_h60,target_index_h120,target_timestamp_h120,target_index_h240,target_timestamp_h240,target_index_h480,target_timestamp_h480
1113,2026-03-25 02:12:00,train,754,1113,360,24,0.15,1128,2026-03-25 03:12:00,1143,2026-03-25 04:12:00,1173,2026-03-25 06:12:00,1233,2026-03-25 10:12:00
1114,2026-03-25 02:16:00,train,755,1114,360,24,0.15,1129,2026-03-25 03:16:00,1144,2026-03-25 04:16:00,1174,2026-03-25 06:16:00,1234,2026-03-25 10:16:00
1115,2026-03-25 02:20:00,train,756,1115,360,24,0.15,1130,2026-03-25 03:20:00,1145,2026-03-25 04:20:00,1175,2026-03-25 06:20:00,1235,2026-03-25 10:20:00
1116,2026-03-25 02:24:00,train,757,1116,360,24,0.15,1131,2026-03-25 03:24:00,1146,2026-03-25 04:24:00,1176,2026-03-25 06:24:00,1236,2026-03-25 10:24:00
1117,2026-03-25 02:28:00,train,758,1117,360,24,0.15,1132,2026-03-25 03:28:00,1147,2026-03-25 04:28:00,1177,2026-03-25 06:28:00,1237,2026-03-25 10:28:00
1121,2026-03-25 02:44:00,train,762,1121,360,24,0.15,1136,2026-03-25 03:44:00,1151,2026-03-25 04:44:00,1181,2026-03-25 06:44:00,1241,2026-03-25 10:44:00
1124,2026-03-25 02:56:00,train,765,1124,360,24,0.15,1139,2026-03-25 03:56:00,1154,2026-03-25 04:56:00,1184,2026-03-25 06:56:00,1244,2026-03-25 10:56:00
1132,2026-03-25 03:28:00,train,773,1132,360,24,0.15,1147,2026-03-25 04:28:00,1162,2026-03-25 05:28:00,1192,2026-03-25 07:28:00,1252,2026-03-25 11:28:00
1134,2026-03-25 03:36:00,train,775,1134,360,24,0.15,1149,2026-03-25 04:36:00,1164,2026-03-25 05:36:00,1194,2026-03-25 07:36:00,1254,2026-03-25 11:36:00
1135,2026-03-25 03:40:00,train,776,1135,360,24,0.15,1150,2026-03-25 04:40:00,1165,2026-03-25 05:40:00,1195,2026-03-25 07:40:00,1255,2026-03-25 11:40:00
1136,2026-03-25 03:44:00,train,777,1136,360,24,0.15,1151,2026-03-25 04:44:00,1166,2026-03-25 05:44:00,1196,2026-03-25 07:44:00,1256,2026-03-25 11:44:00
1141,2026-03-25 04:04:00,train,782,1141,360,24,0.15,1156,2026-03-25 05:04:00,1171,2026-03-25 06:04:00,1201,2026-03-25 08:04:00,1261,2026-03-25 12:04:00
1144,2026-03-25 04:16:00,train,785,1144,360,24,0.15,1159,2026-03-25 05:16:00,1174,2026-03-25 06:16:00,1204,2026-03-25 08:16:00,1264,2026-03-25 12:16:00
1145,2026-03-25 04:20:00,train,786,1145,360,24,0.15,1160,2026-03-25 05:20:00,1175,2026-03-25 06:20:00,1205,2026-03-25 08:20:00,1265,2026-03-25 12:20:00
1151,2026-03-25 04:44:00,train,792,1151,360,24,0.15,1166,2026-03-25 05:44:00,1181,2026-03-25 06:44:00,1211,2026-03-25 08:44:00,1271,2026-03-25 12:44:00
1166,2026-03-25 05:44:00,train,807,1166,360,24,0.15,1181,2026-03-25 06:44:00,1196,2026-03-25 07:44:00,1226,2026-03-25 09:44:00,1286,2026-03-25 13:44:00
1168,2026-03-25 05:52:00,train,809,1168,360,24,0.15,1183,2026-03-25 06:52:00,1198,2026-03-25 07:52:00,1228,2026-03-25 09:52:00,1288,2026-03-25 13:52:00
1171,2026-03-25 06:04:00,train,812,1171,360,24,0.15,1186,2026-03-25 07:04:00,1201,2026-03-25 08:04:00,1231,2026-03-25 10:04:00,1291,2026-03-25 14:04:00
1180,2026-03-25 06:40:00,train,821,1180,360,24,0.15,1195,2026-03-25 07:40:00,1210,2026-03-25 08:40:00,1240,2026-03-25 10:40:00,1300,2026-03-25 14:40:00
1181,2026-03-25 06:44:00,train,822,1181,360,24,0.15,1196,2026-03-25 07:44:00,1211,2026-03-25 08:44:00,1241,2026-03-25 10:44:00,1301,2026-03-25 14:44:00
1183,2026-03-25 06:52:00,train,824,1183,360,24,0.15,1198,2026-03-25 07:52:00,1213,2026-03-25 08:52:00,1243,2026-03-25 10:52:00,1303,2026-03-25 14:52:00
1184,2026-03-25 06:56:00,train,825,1184,360,24,0.15,1199,2026-03-25 07:56:00,1214,2026-03-25 08:56:00,1244,2026-03-25 10:56:00,1304,2026-03-25 14:56:00
4117,2026-04-02 10:28:00,train,3758,4117,360,24,0.15,4132,2026-04-02 11:28:00,4147,2026-04-02 12:28:00,4177,2026-04-02 14:28:00,4237,2026-04-02 18:28:00
4128,2026-04-02 11:12:00,train,3769,4128,360,24,0.15,4143,2026-04-02 12:12:00,4158,2026-04-02 13:12:00,4188,2026-04-02 15:12:00,4248,2026-04-02 19:12:00
4130,2026-04-02 11:20:00,train,3771,4130,360,24,0.15,4145,2026-04-02 12:20:00,4160,2026-04-02 13:20:00,4190,2026-04-02 15:20:00,4250,2026-04-02 19:20:00
4131,2026-04-02 11:24:00,train,3772,4131,360,24,0.15,4146,2026-04-02 12:24:00,4161,2026-04-02 13:24:00,4191,2026-04-02 15:24:00,4251,2026-04-02 19:24:00
4137,2026-04-02 11:48:00,train,3778,4137,360,24,0.15,4152,2026-04-02 12:48:00,4167,2026-04-02 13:48:00,4197,2026-04-02 15:48:00,4257,2026-04-02 19:48:00
9620,2026-04-17 17:20:00,train,9261,9620,360,24,0.15,9635,2026-04-17 18:20:00,9650,2026-04-17 19:20:00,9680,2026-04-17 21:20:00,9740,2026-04-18 01:20:00
9621,2026-04-17 17:24:00,train,9262,9621,360,24,0.15,9636,2026-04-17 18:24:00,9651,2026-04-17 19:24:00,9681,2026-04-17 21:24:00,9741,2026-04-18 01:24:00
9625,2026-04-17 17:40:00,train,9266,9625,360,24,0.15,9640,2026-04-17 18:40:00,9655,2026-04-17 19:40:00,9685,2026-04-17 21:40:00,9745,2026-04-18 01:40:00
9627,2026-04-17 17:48:00,train,9268,9627,360,24,0.15,9642,2026-04-17 18:48:00,9657,2026-04-17 19:48:00,9687,2026-04-17 21:48:00,9747,2026-04-18 01:48:00
9630,2026-04-17 18:00:00,train,9271,9630,360,24,0.15,9645,2026-04-17 19:00:00,9660,2026-04-17 20:00:00,9690,2026-04-17 22:00:00,9750,2026-04-18 02:00:00
9631,2026-04-17 18:04:00,train,9272,9631,360,24,0.15,9646,2026-04-17 19:04:00,9661,2026-04-17 20:04:00,9691,2026-04-17 22:04:00,9751,2026-04-18 02:04:00
9634,2026-04-17 18:16:00,train,9275,9634,360,24,0.15,9649,2026-04-17 19:16:00,9664,2026-04-17 20:16:00,9694,2026-04-17 22:16:00,9754,2026-04-18 02:16:00
9635,2026-04-17 18:20:00,train,9276,9635,360,24,0.15,9650,2026-04-17 19:20:00,9665,2026-04-17 20:20:00,9695,2026-04-17 22:20:00,9755,2026-04-18 02:20:00
9636,2026-04-17 18:24:00,train,9277,9636,360,24,0.15,9651,2026-04-17 19:24:00,9666,2026-04-17 20:24:00,9696,2026-04-17 22:24:00,9756,2026-04-18 02:24:00
9637,2026-04-17 18:28:00,train,9278,9637,360,24,0.15,9652,2026-04-17 19:28:00,9667,2026-04-17 20:28:00,9697,2026-04-17 22:28:00,9757,2026-04-18 02:28:00
9643,2026-04-17 18:52:00,train,9284,9643,360,24,0.15,9658,2026-04-17 19:52:00,9673,2026-04-17 20:52:00,9703,2026-04-17 22:52:00,9763,2026-04-18 02:52:00
9644,2026-04-17 18:56:00,train,9285,9644,360,24,0.15,9659,2026-04-17 19:56:00,9674,2026-04-17 20:56:00,9704,2026-04-17 22:56:00,9764,2026-04-18 02:56:00
9645,2026-04-17 19:00:00,train,9286,9645,360,24,0.15,9660,2026-04-17 20:00:00,9675,2026-04-17 21:00:00,9705,2026-04-17 23:00:00,9765,2026-04-18 03:00:00
9646,2026-04-17 19:04:00,train,9287,9646,360,24,0.15,9661,2026-04-17 20:04:00,9676,2026-04-17 21:04:00,9706,2026-04-17 23:04:00,9766,2026-04-18 03:04:00
9652,2026-04-17 19:28:00,train,9293,9652,360,24,0.15,9667,2026-04-17 20:28:00,9682,2026-04-17 21:28:00,9712,2026-04-17 23:28:00,9772,2026-04-18 03:28:00
9656,2026-04-17 19:44:00,train,9297,9656,360,24,0.15,9671,2026-04-17 20:44:00,9686,2026-04-17 21:44:00,9716,2026-04-17 23:44:00,9776,2026-04-18 03:44:00
9658,2026-04-17 19:52:00,train,9299,9658,360,24,0.15,9673,2026-04-17 20:52:00,9688,2026-04-17 21:52:00,9718,2026-04-17 23:52:00,9778,2026-04-18 03:52:00
9661,2026-04-17 20:04:00,train,9302,9661,360,24,0.15,9676,2026-04-17 21:04:00,9691,2026-04-17 22:04:00,9721,2026-04-18 00:04:00,9781,2026-04-18 04:04:00
9665,2026-04-17 20:20:00,train,9306,9665,360,24,0.15,9680,2026-04-17 21:20:00,9695,2026-04-17 22:20:00,9725,2026-04-18 00:20:00,9785,2026-04-18 04:20:00
9666,2026-04-17 20:24:00,train,9307,9666,360,24,0.15,9681,2026-04-17 21:24:00,9696,2026-04-17 22:24:00,9726,2026-04-18 00:24:00,9786,2026-04-18 04:24:00
9670,2026-04-17 20:40:00,train,9311,9670,360,24,0.15,9685,2026-04-17 21:40:00,9700,2026-04-17 22:40:00,9730,2026-04-18 00:40:00,9790,2026-04-18 04:40:00
9671,2026-04-17 20:44:00,train,9312,9671,360,24,0.15,9686,2026-04-17 21:44:00,9701,2026-04-17 22:44:00,9731,2026-04-18 00:44:00,9791,2026-04-18 04:44:00
9672,2026-04-17 20:48:00,train,9313,9672,360,24,0.15,9687,2026-04-17 21:48:00,9702,2026-04-17 22:48:00,9732,2026-04-18 00:48:00,9792,2026-04-18 04:48:00
9673,2026-04-17 20:52:00,train,9314,9673,360,24,0.15,9688,2026-04-17 21:52:00,9703,2026-04-17 22:52:00,9733,2026-04-18 00:52:00,9793,2026-04-18 04:52:00
9674,2026-04-17 20:56:00,train,9315,9674,360,24,0.15,9689,2026-04-17 21:56:00,9704,2026-04-17 22:56:00,9734,2026-04-18 00:56:00,9794,2026-04-18 04:56:00
9675,2026-04-17 21:00:00,train,9316,9675,360,24,0.15,9690,2026-04-17 22:00:00,9705,2026-04-17 23:00:00,9735,2026-04-18 01:00:00,9795,2026-04-18 05:00:00
9676,2026-04-17 21:04:00,train,9317,9676,360,24,0.15,9691,2026-04-17 22:04:00,9706,2026-04-17 23:04:00,9736,2026-04-18 01:04:00,9796,2026-04-18 05:04:00
9677,2026-04-17 21:08:00,train,9318,9677,360,24,0.15,9692,2026-04-17 22:08:00,9707,2026-04-17 23:08:00,9737,2026-04-18 01:08:00,9797,2026-04-18 05:08:00
9678,2026-04-17 21:12:00,train,9319,9678,360,24,0.15,9693,2026-04-17 22:12:00,9708,2026-04-17 23:12:00,9738,2026-04-18 01:12:00,9798,2026-04-18 05:12:00
9679,2026-04-17 21:16:00,train,9320,9679,360,24,0.15,9694,2026-04-17 22:16:00,9709,2026-04-17 23:16:00,9739,2026-04-18 01:16:00,9799,2026-04-18 05:16:00
9681,2026-04-17 21:24:00,train,9322,9681,360,24,0.15,9696,2026-04-17 22:24:00,9711,2026-04-17 23:24:00,9741,2026-04-18 01:24:00,9801,2026-04-18 05:24:00
9682,2026-04-17 21:28:00,train,9323,9682,360,24,0.15,9697,2026-04-17 22:28:00,9712,2026-04-17 23:28:00,9742,2026-04-18 01:28:00,9802,2026-04-18 05:28:00
9683,2026-04-17 21:32:00,train,9324,9683,360,24,0.15,9698,2026-04-17 22:32:00,9713,2026-04-17 23:32:00,9743,2026-04-18 01:32:00,9803,2026-04-18 05:32:00
9685,2026-04-17 21:40:00,train,9326,9685,360,24,0.15,9700,2026-04-17 22:40:00,9715,2026-04-17 23:40:00,9745,2026-04-18 01:40:00,9805,2026-04-18 05:40:00
9686,2026-04-17 21:44:00,train,9327,9686,360,24,0.15,9701,2026-04-17 22:44:00,9716,2026-04-17 23:44:00,9746,2026-04-18 01:44:00,9806,2026-04-18 05:44:00
9694,2026-04-17 22:16:00,train,9335,9694,360,24,0.15,9709,2026-04-17 23:16:00,9724,2026-04-18 00:16:00,9754,2026-04-18 02:16:00,9814,2026-04-18 06:16:00
9696,2026-04-17 22:24:00,train,9337,9696,360,24,0.15,9711,2026-04-17 23:24:00,9726,2026-04-18 00:24:00,9756,2026-04-18 02:24:00,9816,2026-04-18 06:24:00
9701,2026-04-17 22:44:00,train,9342,9701,360,24,0.15,9716,2026-04-17 23:44:00,9731,2026-04-18 00:44:00,9761,2026-04-18 02:44:00,9821,2026-04-18 06:44:00
9703,2026-04-17 22:52:00,train,9344,9703,360,24,0.15,9718,2026-04-17 23:52:00,9733,2026-04-18 00:52:00,9763,2026-04-18 02:52:00,9823,2026-04-18 06:52:00
9704,2026-04-17 22:56:00,train,9345,9704,360,24,0.15,9719,2026-04-17 23:56:00,9734,2026-04-18 00:56:00,9764,2026-04-18 02:56:00,9824,2026-04-18 06:56:00
9706,2026-04-17 23:04:00,train,9347,9706,360,24,0.15,9721,2026-04-18 00:04:00,9736,2026-04-18 01:04:00,9766,2026-04-18 03:04:00,9826,2026-04-18 07:04:00
9707,2026-04-17 23:08:00,train,9348,9707,360,24,0.15,9722,2026-04-18 00:08:00,9737,2026-04-18 01:08:00,9767,2026-04-18 03:08:00,9827,2026-04-18 07:08:00
9708,2026-04-17 23:12:00,train,9349,9708,360,24,0.15,9723,2026-04-18 00:12:00,9738,2026-04-18 01:12:00,9768,2026-04-18 03:12:00,9828,2026-04-18 07:12:00
9715,2026-04-17 23:40:00,train,9356,9715,360,24,0.15,9730,2026-04-18 00:40:00,9745,2026-04-18 01:40:00,9775,2026-04-18 03:40:00,9835,2026-04-18 07:40:00
9716,2026-04-17 23:44:00,train,9357,9716,360,24,0.15,9731,2026-04-18 00:44:00,9746,2026-04-18 01:44:00,9776,2026-04-18 03:44:00,9836,2026-04-18 07:44:00
9717,2026-04-17 23:48:00,train,9358,9717,360,24,0.15,9732,2026-04-18 00:48:00,9747,2026-04-18 01:48:00,9777,2026-04-18 03:48:00,9837,2026-04-18 07:48:00
9720,2026-04-18 00:00:00,train,9361,9720,360,24,0.15,9735,2026-04-18 01:00:00,9750,2026-04-18 02:00:00,9780,2026-04-18 04:00:00,9840,2026-04-18 08:00:00
9721,2026-04-18 00:04:00,train,9362,9721,360,24,0.15,9736,2026-04-18 01:04:00,9751,2026-04-18 02:04:00,9781,2026-04-18 04:04:00,9841,2026-04-18 08:04:00
9725,2026-04-18 00:20:00,train,9366,9725,360,24,0.15,9740,2026-04-18 01:20:00,9755,2026-04-18 02:20:00,9785,2026-04-18 04:20:00,9845,2026-04-18 08:20:00
9726,2026-04-18 00:24:00,train,9367,9726,360,24,0.15,9741,2026-04-18 01:24:00,9756,2026-04-18 02:24:00,9786,2026-04-18 04:24:00,9846,2026-04-18 08:24:00
9727,2026-04-18 00:28:00,train,9368,9727,360,24,0.15,9742,2026-04-18 01:28:00,9757,2026-04-18 02:28:00,9787,2026-04-18 04:28:00,9847,2026-04-18 08:28:00
9728,2026-04-18 00:32:00,train,9369,9728,360,24,0.15,9743,2026-04-18 01:32:00,9758,2026-04-18 02:32:00,9788,2026-04-18 04:32:00,9848,2026-04-18 08:32:00
9731,2026-04-18 00:44:00,train,9372,9731,360,24,0.15,9746,2026-04-18 01:44:00,9761,2026-04-18 02:44:00,9791,2026-04-18 04:44:00,9851,2026-04-18 08:44:00
9732,2026-04-18 00:48:00,train,9373,9732,360,24,0.15,9747,2026-04-18 01:48:00,9762,2026-04-18 02:48:00,9792,2026-04-18 04:48:00,9852,2026-04-18 08:48:00
9735,2026-04-18 01:00:00,train,9376,9735,360,24,0.15,9750,2026-04-18 02:00:00,9765,2026-04-18 03:00:00,9795,2026-04-18 05:00:00,9855,2026-04-18 09:00:00
9736,2026-04-18 01:04:00,train,9377,9736,360,24,0.15,9751,2026-04-18 02:04:00,9766,2026-04-18 03:04:00,9796,2026-04-18 05:04:00,9856,2026-04-18 09:04:00
9742,2026-04-18 01:28:00,train,9383,9742,360,24,0.15,9757,2026-04-18 02:28:00,9772,2026-04-18 03:28:00,9802,2026-04-18 05:28:00,9862,2026-04-18 09:28:00
9743,2026-04-18 01:32:00,train,9384,9743,360,24,0.15,9758,2026-04-18 02:32:00,9773,2026-04-18 03:32:00,9803,2026-04-18 05:32:00,9863,2026-04-18 09:32:00
9745,2026-04-18 01:40:00,train,9386,9745,360,24,0.15,9760,2026-04-18 02:40:00,9775,2026-04-18 03:40:00,9805,2026-04-18 05:40:00,9865,2026-04-18 09:40:00
9746,2026-04-18 01:44:00,train,9387,9746,360,24,0.15,9761,2026-04-18 02:44:00,9776,2026-04-18 03:44:00,9806,2026-04-18 05:44:00,9866,2026-04-18 09:44:00
9748,2026-04-18 01:52:00,train,9389,9748,360,24,0.15,9763,2026-04-18 02:52:00,9778,2026-04-18 03:52:00,9808,2026-04-18 05:52:00,9868,2026-04-18 09:52:00
9761,2026-04-18 02:44:00,train,9402,9761,360,24,0.15,9776,2026-04-18 03:44:00,9791,2026-04-18 04:44:00,9821,2026-04-18 06:44:00,9881,2026-04-18 10:44:00
9762,2026-04-18 02:48:00,train,9403,9762,360,24,0.15,9777,2026-04-18 03:48:00,9792,2026-04-18 04:48:00,9822,2026-04-18 06:48:00,9882,2026-04-18 10:48:00
9765,2026-04-18 03:00:00,train,9406,9765,360,24,0.15,9780,2026-04-18 04:00:00,9795,2026-04-18 05:00:00,9825,2026-04-18 07:00:00,9885,2026-04-18 11:00:00
9766,2026-04-18 03:04:00,train,9407,9766,360,24,0.15,9781,2026-04-18 04:04:00,9796,2026-04-18 05:04:00,9826,2026-04-18 07:04:00,9886,2026-04-18 11:04:00
9767,2026-04-18 03:08:00,train,9408,9767,360,24,0.15,9782,2026-04-18 04:08:00,9797,2026-04-18 05:08:00,9827,2026-04-18 07:08:00,9887,2026-04-18 11:08:00
9768,2026-04-18 03:12:00,train,9409,9768,360,24,0.15,9783,2026-04-18 04:12:00,9798,2026-04-18 05:12:00,9828,2026-04-18 07:12:00,9888,2026-04-18 11:12:00
9772,2026-04-18 03:28:00,train,9413,9772,360,24,0.15,9787,2026-04-18 04:28:00,9802,2026-04-18 05:28:00,9832,2026-04-18 07:28:00,9892,2026-04-18 11:28:00
9778,2026-04-18 03:52:00,train,9419,9778,360,24,0.15,9793,2026-04-18 04:52:00,9808,2026-04-18 05:52:00,9838,2026-04-18 07:52:00,9898,2026-04-18 11:52:00
10412,2026-04-19 22:08:00,train,10053,10412,360,24,0.15,10427,2026-04-19 23:08:00,10442,2026-04-20 00:08:00,10472,2026-04-20 02:08:00,10532,2026-04-20 06:08:00
10416,2026-04-19 22:24:00,train,10057,10416,360,24,0.15,10431,2026-04-19 23:24:00,10446,2026-04-20 00:24:00,10476,2026-04-20 02:24:00,10536,2026-04-20 06:24:00
10417,2026-04-19 22:28:00,train,10058,10417,360,24,0.15,10432,2026-04-19 23:28:00,10447,2026-04-20 00:28:00,10477,2026-04-20 02:28:00,10537,2026-04-20 06:28:00
10418,2026-04-19 22:32:00,train,10059,10418,360,24,0.15,10433,2026-04-19 23:32:00,10448,2026-04-20 00:32:00,10478,2026-04-20 02:32:00,10538,2026-04-20 06:32:00
10419,2026-04-19 22:36:00,train,10060,10419,360,24,0.15,10434,2026-04-19 23:36:00,10449,2026-04-20 00:36:00,10479,2026-04-20 02:36:00,10539,2026-04-20 06:36:00
10420,2026-04-19 22:40:00,train,10061,10420,360,24,0.15,10435,2026-04-19 23:40:00,10450,2026-04-20 00:40:00,10480,2026-04-20 02:40:00,10540,2026-04-20 06:40:00
10421,2026-04-19 22:44:00,train,10062,10421,360,24,0.15,10436,2026-04-19 23:44:00,10451,2026-04-20 00:44:00,10481,2026-04-20 02:44:00,10541,2026-04-20 06:44:00
10422,2026-04-19 22:48:00,train,10063,10422,360,24,0.15,10437,2026-04-19 23:48:00,10452,2026-04-20 00:48:00,10482,2026-04-20 02:48:00,10542,2026-04-20 06:48:00
10424,2026-04-19 22:56:00,train,10065,10424,360,24,0.15,10439,2026-04-19 23:56:00,10454,2026-04-20 00:56:00,10484,2026-04-20 02:56:00,10544,2026-04-20 06:56:00
10425,2026-04-19 23:00:00,train,10066,10425,360,24,0.15,10440,2026-04-20 00:00:00,10455,2026-04-20 01:00:00,10485,2026-04-20 03:00:00,10545,2026-04-20 07:00:00
10426,2026-04-19 23:04:00,train,10067,10426,360,24,0.15,10441,2026-04-20 00:04:00,10456,2026-04-20 01:04:00,10486,2026-04-20 03:04:00,10546,2026-04-20 07:04:00
10427,2026-04-19 23:08:00,train,10068,10427,360,24,0.15,10442,2026-04-20 00:08:00,10457,2026-04-20 01:08:00,10487,2026-04-20 03:08:00,10547,2026-04-20 07:08:00
10431,2026-04-19 23:24:00,train,10072,10431,360,24,0.15,10446,2026-04-20 00:24:00,10461,2026-04-20 01:24:00,10491,2026-04-20 03:24:00,10551,2026-04-20 07:24:00
10432,2026-04-19 23:28:00,train,10073,10432,360,24,0.15,10447,2026-04-20 00:28:00,10462,2026-04-20 01:28:00,10492,2026-04-20 03:28:00,10552,2026-04-20 07:28:00
10433,2026-04-19 23:32:00,train,10074,10433,360,24,0.15,10448,2026-04-20 00:32:00,10463,2026-04-20 01:32:00,10493,2026-04-20 03:32:00,10553,2026-04-20 07:32:00
10435,2026-04-19 23:40:00,train,10076,10435,360,24,0.15,10450,2026-04-20 00:40:00,10465,2026-04-20 01:40:00,10495,2026-04-20 03:40:00,10555,2026-04-20 07:40:00
10436,2026-04-19 23:44:00,train,10077,10436,360,24,0.15,10451,2026-04-20 00:44:00,10466,2026-04-20 01:44:00,10496,2026-04-20 03:44:00,10556,2026-04-20 07:44:00
10437,2026-04-19 23:48:00,train,10078,10437,360,24,0.15,10452,2026-04-20 00:48:00,10467,2026-04-20 01:48:00,10497,2026-04-20 03:48:00,10557,2026-04-20 07:48:00
10438,2026-04-19 23:52:00,train,10079,10438,360,24,0.15,10453,2026-04-20 00:52:00,10468,2026-04-20 01:52:00,10498,2026-04-20 03:52:00,10558,2026-04-20 07:52:00
10440,2026-04-20 00:00:00,train,10081,10440,360,24,0.15,10455,2026-04-20 01:00:00,10470,2026-04-20 02:00:00,10500,2026-04-20 04:00:00,10560,2026-04-20 08:00:00
10441,2026-04-20 00:04:00,train,10082,10441,360,24,0.15,10456,2026-04-20 01:04:00,10471,2026-04-20 02:04:00,10501,2026-04-20 04:04:00,10561,2026-04-20 08:04:00
10442,2026-04-20 00:08:00,train,10083,10442,360,24,0.15,10457,2026-04-20 01:08:00,10472,2026-04-20 02:08:00,10502,2026-04-20 04:08:00,10562,2026-04-20 08:08:00
10447,2026-04-20 00:28:00,train,10088,10447,360,24,0.15,10462,2026-04-20 01:28:00,10477,2026-04-20 02:28:00,10507,2026-04-20 04:28:00,10567,2026-04-20 08:28:00
10448,2026-04-20 00:32:00,train,10089,10448,360,24,0.15,10463,2026-04-20 01:32:00,10478,2026-04-20 02:32:00,10508,2026-04-20 04:32:00,10568,2026-04-20 08:32:00
10450,2026-04-20 00:40:00,train,10091,10450,360,24,0.15,10465,2026-04-20 01:40:00,10480,2026-04-20 02:40:00,10510,2026-04-20 04:40:00,10570,2026-04-20 08:40:00
10451,2026-04-20 00:44:00,train,10092,10451,360,24,0.15,10466,2026-04-20 01:44:00,10481,2026-04-20 02:44:00,10511,2026-04-20 04:44:00,10571,2026-04-20 08:44:00
10452,2026-04-20 00:48:00,train,10093,10452,360,24,0.15,10467,2026-04-20 01:48:00,10482,2026-04-20 02:48:00,10512,2026-04-20 04:48:00,10572,2026-04-20 08:48:00
10455,2026-04-20 01:00:00,train,10096,10455,360,24,0.15,10470,2026-04-20 02:00:00,10485,2026-04-20 03:00:00,10515,2026-04-20 05:00:00,10575,2026-04-20 09:00:00
10456,2026-04-20 01:04:00,train,10097,10456,360,24,0.15,10471,2026-04-20 02:04:00,10486,2026-04-20 03:04:00,10516,2026-04-20 05:04:00,10576,2026-04-20 09:04:00
10457,2026-04-20 01:08:00,train,10098,10457,360,24,0.15,10472,2026-04-20 02:08:00,10487,2026-04-20 03:08:00,10517,2026-04-20 05:08:00,10577,2026-04-20 09:08:00
